,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
3989,3989,2020,3,2019,"Senior Research Scientist (VLBI) – Ventspils International Radio Astronomy Centre, Latvia",Faculty Positions (visiting and non-tenure),Ventspils University of Applied Sciences,Small Academic,/ad/3ea43ee9,Latvia,LV-3601
3990,3990,2020,12,2020,Research Associate (cmb),Post-doctoral Positions and Fellowships,Fermi National Accelerator Laboratory,Other,/ad/8476b316,United States of America,60510
3991,3991,2020,12,2020,Postdoctoral Research Position in Multi-wavelength Studies of High-Redshift Protoclusters,Post-doctoral Positions and Fellowships,"University of California, Davis",Large Academic,/ad/f38251f9,United States of America,95616
3992,3992,2019,10,2019,Postdoctoral Position in Observational Extragalactic Astronomy,Post-doctoral Positions and Fellowships,Vanderbilt University,Large Academic,/ad/812df22c,United States of America,
3993,3993,2020,11,2020,Postdoctoral Fellowship in Time Domain Astronomy,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/4911cff4,United States of America,91125
3994,3994,2022,7,2022,Competition for a postdoc position in gravitational-wave astrophysics,Post-doctoral Positions and Fellowships,Nicolaus Copernicus Astronomical Center,Small Academic,/ad/aa91dd54,Poland,00-716
3995,3995,2020,3,2019,1-2 Postdoctoral research fellowships in Solar Physics at the Rosseland Centre for Solar Physics of the University of Oslo.,Post-doctoral Positions and Fellowships,University of Oslo,Foreign,/ad/5ac1976f,Norway,NO-0325
3996,3996,2021,11,2021,Postdoctoral Researcher in ISM Physics and Star Formation,Post-doctoral Positions and Fellowships,Heidelberg University,Large Academic,/ad/59021d3a,Germany,69120
3997,3997,2020,1,2019,Research Fellow in Cosmological Galaxy Formation,Post-doctoral Positions and Fellowships,University College London,Large Academic,/ad/64becd43,United Kingdom of Great Britain and Northern Ireland,WC1E 6BT
3998,3998,2022,1,2021,Research and Teaching Scholar,Faculty Positions (visiting and non-tenure),University of Connecticut,Large Academic,/ad/67df1ec9,United States of America,
3999,3999,2022,12,2022,Postdoctoral Research Associate I - Space Instrumentation,Post-doctoral Positions and Fellowships,UNIVERSITY OF ARIZONA,Large Academic,/ad/3c889545,United States of America,85721
4000,4000,2019,7,2019,Postdoctoral position in LSST low surface brightness science,Post-doctoral Positions and Fellowships,Liverpool John Moores University &amp; University of Hertfordshire,Large Academic,/ad/ef73f013,United Kingdom of Great Britain and Northern Ireland,L3 5RF
4001,4001,2021,9,2021,Assistant Professor of Physics - Bowdoin College ,Faculty Positions (tenure and tenure-track),Bowdoin College,Small Academic,/ad/4df91cd7,United States of America,04011
4002,4002,2021,12,2021,Cosmology Postdoctoral Fellow,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/45507e49,United States of America,94720
4003,4003,2022,9,2022,"Assistant Professor, Data-Intensive Astronomy",Faculty Positions (tenure and tenure-track),Yale University,Large Academic,/ad/f849895b,United States of America,06511
4004,4004,2022,10,2022,Post-doctoral Fellowships ,Post-doctoral Positions and Fellowships,Tata Institute of Fundamental Research (TIFR),Large Academic,/ad/65395e99,India,411007
4005,4005,2023,5,2022,Adaptive Optics Senior Software Engineer,Science Engineering,TMT International Observatory,Other,/ad/6cfedfd7,United States of America,
4006,4006,2021,10,2021,Two Postdoc Positions in Computational Astrophysics at Penn State,Post-doctoral Positions and Fellowships,The Pennsylvania State University,Large Academic,/ad/2af1c025,United States of America,16801
4007,4007,2020,8,2020,Head of Mechanical Engineering,Scientific/Technical Staff,AURA/NSF's NOIRLab,Other,/ad/77f2240a,Chile,
4008,4008,2022,2,2021,Project Scientist,Scientific/Technical Staff,The European Space Agency (ESA),Foreign,/ad/1a3a176d,Netherlands,
4009,4009,2021,8,2021,PhD in Astrophysics and Solar Physics,Pre-doctoral/Graduate Positions,International Max Planck Research School Göttingen,Large Academic,/ad/dba9f3a1,Germany,
4010,4010,2020,8,2020,2021 Panofsky Fellowship at the SLAC National Accelerator Laboratory,Post-doctoral Positions and Fellowships,Stanford University,Large Academic,/ad/e7b257ef,United States of America,94305
4011,4011,2022,10,2022,Postdoctoral position in computational galaxy formation,Post-doctoral Positions and Fellowships,Leiden University,Foreign,/ad/ae1f7aa0,Netherlands,
4012,4012,2020,10,2020,Post- Doctoral Scholar - Physics,Post-doctoral Positions and Fellowships,University of California Merced,Large Academic,/ad/3d6d7683,United States of America,95343
4013,4013,2021,4,2020,Software engineer/developer,Science Engineering,"ASTRON, the Netherlands institute for Radio Astronomy",Research Laboratory,/ad/7e337a53,Netherlands,7991 PD
4014,4014,2023,3,2022,Postbaccalaureate Positions in Astrophysics Science and Solar System Exploration Divisions at NASA/Goddard Space Flight Center,Other,Southeastern Universities Research Association (SURA),Government Agency,/ad/a6b52099,United States of America,20005
4015,4015,2019,10,2019,JSEG Astronomer - AER00036P ,Science Engineering,Jacobs,Industry,/ad/e6640b6b,United States of America,35806
4016,4016,2019,10,2019,Postdoctoral Fellowships in Radio Astronomy Techniques &amp; Technologies,Post-doctoral Positions and Fellowships,Centre for Radio Astronomy Techniques &amp; Technologies,Large Academic,/ad/7519de74,South Africa,6139
4017,4017,2023,5,2022,"Project Research Fellow on Annual Salary System (Stellar Evolution in Early Universe) (Division of Science, NAOJ)",Post-doctoral Positions and Fellowships,National Astronomical Observatory of Japan,Foreign,/ad/29354c7a,Japan,
4018,4018,2019,10,2019,"NSF Supported Tenure-Track Assistant Professor in Solar Physics and Astro-informatics at Georgia State University, Atlanta.",Faculty Positions (tenure and tenure-track),Georgia State University,Large Academic,/ad/6ff0e9a4,United States of America,30303
4019,4019,2022,7,2022,Postdoc position in galaxy formation,Post-doctoral Positions and Fellowships,Univesidad de La Serena,Large Academic,/ad/dc564ab5,Chile,1700000
4020,4020,2022,11,2022,Researcher 6 - BICEP/Keck (Pryke),Post-doctoral Positions and Fellowships,University of Minnesota,Large Academic,/ad/479efab6,United States of America,55455
4021,4021,2022,5,2021,Professor/Reader of Statistics or Statistical Data Science,Post-doctoral Positions and Fellowships,Newcastle University,Foreign,/ad/abad8168,United Kingdom of Great Britain and Northern Ireland,NE1 7RU
4022,4022,2020,6,2020,2020-2nd Faculty Positions in Korea Astronomy and Space Science Institute (KASI) ,Faculty Positions (tenure and tenure-track),Korea Astronomy and Space Science Institute (KASI),Foreign,/ad/01615d52,Korea (Democratic People's Republic of),
4023,4023,2022,11,2022,Postdoctoral research position in microlensing and bulge studies,Post-doctoral Positions and Fellowships,University of Warsaw,Foreign,/ad/3d99ff0f,Poland,
4024,4024,2020,6,2020,Asst. Lecturer Physics Astronomy ,Faculty Positions (visiting and non-tenure),University of Wyoming,Small Academic,/ad/ad904ed5,United States of America,82071
4025,4025,2021,12,2021,NAOJ Postdoctoral Researcher Stationed at Nihon University,Post-doctoral Positions and Fellowships,Nihon University/NAOJ,Foreign,/ad/79d1e45e,Japan,
4026,4026,2019,11,2019,"Postdoctoral position in the field of exoplanets and astrochemistry at KU Leuven, Belgium",Post-doctoral Positions and Fellowships,"Institute of Astronomy, KU Leuven",Large Academic,/ad/65f6826d,Belgium,
4027,4027,2020,3,2019,Summer Astrophysics and Astronomy Teaching Opportunities,Other,Johns Hopkins Center for Talented Youth,Small Academic,/ad/2d294b40,United States of America,
4028,4028,2022,10,2022,Assistant Professor of Physics &amp; Astronomy - Observational Astrophysics,Faculty Positions (tenure and tenure-track),Purdue University,Large Academic,/ad/b9a9e61d,United States of America,47907
4029,4029,2021,12,2021,Postdoctoral Associate in Stars,Post-doctoral Positions and Fellowships,University of Florida,Large Academic,/ad/2c8498c9,United States of America,32611
4030,4030,2019,6,2019,Aerospace Controls and Robotics Engineer,Science Engineering,"Analytical Mechanics Associates, Inc.",Research Laboratory,/ad/675248d7,United States of America,80211
4031,4031,2021,10,2021,Postdoctoral Fellow – WVU Center for Gravitational Waves and Cosmology Diversity Fellowship,Post-doctoral Positions and Fellowships,West Virginia University,Large Academic,/ad/71eb8afa,United States of America,26501-6315
4032,4032,2022,10,2022,VIDA Postdoctoral Fellowship in Gravitational-wave Astrophysics,Post-doctoral Positions and Fellowships,Vanderbilt University,Large Academic,/ad/d55127af,United States of America,
4033,4033,2022,1,2021,Centre for Astrophysics Research Fellowships,Post-doctoral Positions and Fellowships,"Centre for Astrophysics Research, University of Hertfordshire",Large Academic,/ad/c709c2ec,United Kingdom of Great Britain and Northern Ireland,AL10 9AB
4034,4034,2021,9,2021,University of Tennessee - Asst Professor Astrophysics,Faculty Positions (tenure and tenure-track),University Tennessee-Knoxville,Large Academic,/ad/a1f90980,United States of America,37996
4035,4035,2023,5,2022,Postdoctoral position on protoplanetary discs,Post-doctoral Positions and Fellowships,Universidad Adolfo Ibáñez,Foreign,/ad/090ca36b,Chile,2562340
4036,4036,2021,1,2020,Two Postdoctoral Positions  in Theoretical/Computational Astrophysics of Cosmic Dawn,Post-doctoral Positions and Fellowships,The University of Edinburgh,Large Academic,/ad/2a04a3f8,United Kingdom of Great Britain and Northern Ireland,EH9 3HJ
4037,4037,2021,11,2021,William and Caroline Herschel Fellowship at McMaster University,Post-doctoral Positions and Fellowships,McMaster University,Large Academic,/ad/8dd54ed2,Canada,
4038,4038,2022,5,2021,"Postdoctoral researcher, Mars and/or exoplanets",Post-doctoral Positions and Fellowships,University of Chicago,Large Academic,/ad/54551c79,United States of America,
4039,4039,2020,2,2019,Faculty Position in Cosmology,Faculty Positions (tenure and tenure-track),CEA-IRFU,Government Agency,/ad/f54a159b,France,
4040,4040,2022,10,2022,Postdoctoral Research Scholar or Assistant Research Scientist in 21cm Observing and Analysis ,Post-doctoral Positions and Fellowships,Arizona State University,Large Academic,/ad/d34f11f7,United States of America,
4041,4041,2020,12,2020,Postdoctoral Positions in Exoplanet,Post-doctoral Positions and Fellowships,"Tsung-Dao Lee Institute, Shanghai Jiao Tong University",Large Academic,/ad/2dddf436,China,200240
4042,4042,2021,10,2021,Postdoctoral Researcher in Black Hole Astrophysics,Post-doctoral Positions and Fellowships,Villanova University,Large Academic,/ad/9ef6edae,United States of America,
4043,4043,2022,7,2022,Post-doctoral Position (JWST AGN Observations/Modelling),Post-doctoral Positions and Fellowships,University of Texas at San Antonio,Large Academic,/ad/2430dd12,United States of America,78249
4044,4044,2020,12,2020,Postdoctoral Research in Observational Astronomy (AGN focused),Post-doctoral Positions and Fellowships,University of Illinois,Large Academic,/ad/d71f6915,United States of America,61801
4045,4045,2020,8,2020,Professor,Faculty Positions (tenure and tenure-track),Brigham Young University,Large Academic,/ad/01d0bfd0,United States of America,84602
4046,4046,2022,3,2021,Postdoctoral Scholar in Galaxy Evolution and UV spectroscopy,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/6abe30f2,United States of America,85721
4047,4047,2021,10,2021,Astrophysicist,Faculty Positions (tenure and tenure-track),Westmont College,Small Academic,/ad/7f6f2c4d,United States of America,93108
4048,4048,2021,12,2021,ALMA Regional Centre Astronomer,Faculty Positions (tenure and tenure-track),European Southern Observatory,Foreign,/ad/8ce1f3f9,Germany,85748
4049,4049,2020,11,2020,"Assistant Professor, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan (NAOJ),Foreign,/ad/b825106b,United States of America,96720
4050,4050,2020,12,2020,Postdoctoral position in High-Energy Astrophysics (xmm2athena),Post-doctoral Positions and Fellowships,Leibniz Institute for Astrophysics,Foreign,/ad/fbcd44e8,Germany,14482
4051,4051,2022,2,2021,Astrophysicist,Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/841607c8,United States of America,
4052,4052,2019,8,2019,Postdoctoral Research Scientist,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,/ad/f66fd09d,United States of America,10027
4053,4053,2019,9,2019,Postdoctoral Research Fellow ,Post-doctoral Positions and Fellowships,The University of Chicago,Large Academic,/ad/4f333c30,United States of America,60637
4054,4054,2022,2,2021,Postdoctoral position with CHIME,Post-doctoral Positions and Fellowships,University of British Columbia,Foreign,/ad/6977d0b2,Canada,V6T 1Z1
4055,4055,2022,10,2022,Assistant Professor - Astrophysics Tenure-Track University of Minnesota,Faculty Positions (tenure and tenure-track),University of Minnesota,Large Academic,/ad/4d3a7fb0,United States of America,55455
4056,4056,2020,11,2020,Postdoctoral Scholar in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,"University of California, Santa Cruz",Large Academic,/ad/f14e9cf9,United States of America,95064
4057,4057,2023,5,2022,1 PhD Position and 1 Postdoctoral Position –  Multi-Messenger High-Energy Astrophysics,Post-doctoral Positions and Fellowships,University of Wuerzburg,Large Academic,/ad/0aed3973,Germany,D-97074
4058,4058,2020,1,2019,Postdoctoral Scholars: Observations of Supernovae and Other Transients - Astronomy Department,Post-doctoral Positions and Fellowships,"University of California, Berkeley",Large Academic,/ad/ec035e47,United States of America,94720
4059,4059,2019,10,2019,Postdoctoral Fellow/Computational Data-Science Fellow - Berkeley Center for Cosmological Physics (BCCP),Post-doctoral Positions and Fellowships,University of California Berkeley,Large Academic,/ad/9c0d7279,United States of America,94720
4060,4060,2020,6,2020,"RE-ADVERTISEMENT: Associate Professor in theoretical cosmology with focus on numerical studies of the cosmic microwave background, large scale structure, and the early Universe",Faculty Positions (tenure and tenure-track),Aarhus University,Large Academic,/ad/3c2d6808,Denmark,8000
4061,4061,2021,10,2021,Postdoctoral Research Associates in Astronomy/Astrophysics,Post-doctoral Positions and Fellowships,Texas A&amp;M University,Large Academic,/ad/387b5995,United States of America,77843-4242
4062,4062,2021,6,2021,Postdoctoral fellowship on the Gaia survey selection function,Post-doctoral Positions and Fellowships,INAF,Research Laboratory,/ad/9688a16e,Italy,10025
4063,4063,2021,5,2020,Postdoctoral Research Scientist in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,University of Colorado,Large Academic,/ad/cedbfd9f,United States of America,
4064,4064,2022,9,2022,Postdoctoral Research Associate in Cosmology and Large-Scale Structure ,Post-doctoral Positions and Fellowships,University of Edinburgh,Large Academic,/ad/1ff03595,United Kingdom of Great Britain and Northern Ireland,EH9 3HJ
4065,4065,2022,3,2021,"Intern, Science ",Scientific/Technical Staff,AURA/NOIRLab,Other,/ad/40a6b371,United States of America,
4066,4066,2019,11,2019,Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,University of Waterloo,Large Academic,/ad/4c33fc64,Canada,N2L 3G1
4067,4067,2022,10,2022,Percival Lowell Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Lowell Observatory,Research Laboratory,/ad/a66a6b07,United States of America,86001
4068,4068,2022,11,2022,"2023 Panofsky Fellowship at Stanford University, SLAC National Accelerator Lab",Post-doctoral Positions and Fellowships,Stanford University,Large Academic,/ad/aebf9410,United States of America,94305
4069,4069,2021,10,2021,Postdoc Position (f*m),Post-doctoral Positions and Fellowships,The Space Research Institute (IWF),Research Laboratory,/ad/da3ba73d,Austria,8042
4070,4070,2021,12,2021,Assistant Professor of Physics (Fall 2022),Faculty Positions (tenure and tenure-track),University of North Georgia,Large Academic,/ad/0d40412a,United States of America,
4071,4071,2022,10,2022,HITS Independent Postdoc Program,Post-doctoral Positions and Fellowships,HITS gGmbH,Research Laboratory,/ad/72446325,Germany,69118
4072,4072,2021,10,2021,Associate Editor - Physical Review D ,Other,American Physical Society,Other,/ad/ee79c582,United States of America,11961
4073,4073,2021,2,2020,Assistant Professor in Astroparticle Physics at the University of Kansas,Faculty Positions (visiting and non-tenure),University of Kansas,Large Academic,/ad/8f6eab2c,United States of America,66045
4074,4074,2019,6,2019,PhD position in Planetary Science,Pre-doctoral/Graduate Positions,Università d'Annunzio,Large Academic,/ad/2a0fa48e,Italy,
4075,4075,2020,12,2020,Planetary Astronomer,Scientific/Technical Staff,SETI Institute,Other,/ad/00af4e70,United States of America,94043
4076,4076,2022,11,2022,Postdoctoral Position on Software Development for Euclid,Post-doctoral Positions and Fellowships,University of Groningen &amp; Leiden University,Large Academic,/ad/54b7cd2e,Netherlands,
4077,4077,2020,10,2020,Postdoctoral Position in Theoretical Astrophysics,Post-doctoral Positions and Fellowships,University of Toledo,Large Academic,/ad/0202d3c3,United States of America,43606
4078,4078,2022,7,2022,Time-Domain Astrophysics Postdoctoral Position,Post-doctoral Positions and Fellowships,UMD Astronomy / NASA - Goddard Space Flight Center,Large Academic,/ad/5f55c47d,United States of America,20771
4079,4079,2021,9,2021,Research Fellow,Post-doctoral Positions and Fellowships,Australian National University,Large Academic,/ad/b487f5ac,Australia,2601
4080,4080,2022,10,2022,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,Brown University,Large Academic,/ad/acd8b1a2,United States of America,02912
4081,4081,2020,11,2020,Research Associate,Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/0b833af3,Australia,
4082,4082,2019,10,2019,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,Georgia State University,Government Agency,/ad/f3aad020,United States of America,91023
4083,4083,2021,10,2021,2022 KASI-Arizona Joint Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Korea Astronomy and Space Science Institute (KASI),Foreign,/ad/3836ef99,Korea (Republic of),
4084,4084,2019,10,2019,Two Postdoctoral Fellowships in Exoplanets at DTU Space,Post-doctoral Positions and Fellowships,"National Space Institute, Technical University of Denmark",Large Academic,/ad/a016b682,Denmark,2800
4085,4085,2022,7,2022,Postdoctoral Research Fellow in Gravitational-Wave Cosmology,Post-doctoral Positions and Fellowships,Monash University,Large Academic,/ad/bb30e1e9,Australia,
4086,4086,2022,10,2022,IPI Postdoctoral research fellowships: 2022 call for applications,Post-doctoral Positions and Fellowships,Initiative Physique des Infinis - Sorbonne Université,Large Academic,/ad/7bb7c347,France,75005
4087,4087,2020,11,2020,Research Fellows in Gravitational-Wave Astrophysics x 2 ,Post-doctoral Positions and Fellowships,University of Portsmouth,Large Academic,/ad/870cf6c7,United Kingdom of Great Britain and Northern Ireland,
4088,4088,2020,11,2020,"Postdoctoral position-Globular clusters, Stellar Dynamics",Post-doctoral Positions and Fellowships,Indiana University,Large Academic,/ad/ab97077c,United States of America,47405
4089,4089,2020,10,2020,Postdoc in Exoplanet Microlensing,Post-doctoral Positions and Fellowships,NASA Goddard Space Flight Center and University of Maryland,Large Academic,/ad/e3231732,United States of America,20771
4090,4090,2021,11,2021,Northwestern/CIERA Education &amp; Outreach Coordinator ,Other,Northwestern University,Large Academic,/ad/2cbee8ff,United States of America,60201
4091,4091,2022,12,2022,Postdoctoral Research Scientist at STScI,Post-doctoral Positions and Fellowships,Johns Hopkins University,Large Academic,/ad/cf08482e,United States of America,21218
4092,4092,2020,10,2020,Postdoctoral Position in Computational Astrophysics,Post-doctoral Positions and Fellowships,University of Notre Dame,Large Academic,/ad/5c412f15,United States of America,46556
4093,4093,2021,11,2021,Euclid's Galaxy Clustering Systematics,Post-doctoral Positions and Fellowships,Jet Propulsion Laboratory/NASA,Research Laboratory,/ad/9ce4b618,United States of America,91109
4094,4094,2021,8,2021,Postdoctoral position in Astronomical Instrumentation for the Subaru GLAO project,Post-doctoral Positions and Fellowships,National Astronomical Observatory of Japan,Other,/ad/cbf42ec9,United States of America,96720
4095,4095,2023,3,2022,Postdoctoral Associate,Post-doctoral Positions and Fellowships,Florida International University,Large Academic,/ad/af329455,United States of America,33199
4096,4096,2021,2,2020,Instructor,Faculty Positions (visiting and non-tenure),University of Central Florida,Large Academic,/ad/6fa0a6a3,United States of America,32816-2385
4097,4097,2022,10,2022,Postdoc Position in Theoretical Stellar Astrophysics,Post-doctoral Positions and Fellowships,HITS gGmbH,Research Laboratory,/ad/adf69ce6,Germany,69118
4098,4098,2019,11,2019,One Postdoctoral contract Computational Astrophysics 2019 (PS-2019-079),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/c7d35277,Spain,
4099,4099,2021,12,2021,ERC-funded postdoctoral positions in Multi-Messenger Astrophysics - BHianca,Post-doctoral Positions and Fellowships,University of Rome - Tor Vergata,Large Academic,/ad/1d4d9ac4,Italy,00133
4100,4100,2020,11,2020,"Assistant Professor, Astrophysics",Faculty Positions (tenure and tenure-track),Massachusetts Institute of Technology,Large Academic,/ad/4a3229a0,United States of America,02139
4101,4101,2021,3,2020,One contract QUIJOTE-LiteBIRD 2021 (PS-2021-020),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/09c82eca,Spain,
4102,4102,2022,11,2022,Joint DIPC-Oxford Postdoctoral Position,Post-doctoral Positions and Fellowships,Donostia International Physics Center &amp; Oxford University,Foreign,/ad/8e2c17e1,Spain,
4103,4103,2023,1,2022,Postdoctoral Research Associate in cosmology,Post-doctoral Positions and Fellowships,University of Edinburgh,Large Academic,/ad/2444d4d4,United Kingdom of Great Britain and Northern Ireland,EH9 3HJ
4104,4104,2022,1,2021,Postdoctoral Position in Galaxy Evolution and Data Science,Post-doctoral Positions and Fellowships,National Chung Hsing University,Other,/ad/4049f9f3,Taiwan,402
4105,4105,2023,1,2022,Post-Doctoral Research Associate - NYU Abu Dhabi (Prof. Gelfand),Post-doctoral Positions and Fellowships,NYU Abu Dhabi,Large Academic,/ad/28b7aaa8,United Arab Emirates,00000
4106,4106,2021,11,2021,Research Assistant/Associate in CMB Cosmology (Fixed Term),Post-doctoral Positions and Fellowships,University of Cambridge,Foreign,/ad/e0fee95c,United Kingdom of Great Britain and Northern Ireland,
4107,4107,2021,11,2021,Postdoctoral Fellowship in Black Hole Astrophysics,Post-doctoral Positions and Fellowships,University of Haifa,Large Academic,/ad/9c0019aa,Israel,3498838
4108,4108,2021,11,2021,IT Systems Administrator,Scientific/Technical Staff,Sunspot Solar Observatory,Large Academic,/ad/3085921c,United States of America,88349
4109,4109,2023,3,2022,US-ELTP Software System Architect,Science Engineering,AURA/NOIRLab,Other,/ad/0fa92e52,United States of America,
4110,4110,2020,2,2019,Postdoctoral position in planet formation,Post-doctoral Positions and Fellowships,Centre de Recherche Astrophysique de Lyon (CRAL) - ENS de Lyon,Foreign,/ad/dfc0d6e0,France,69007
4111,4111,2022,10,2022,Postdoctoral Fellow for the Fast and Fortunate for FRB Follow-up Team,Post-doctoral Positions and Fellowships,"University of California, Santa Cruz",Large Academic,/ad/3d16ce99,United States of America,95064
4112,4112,2019,9,2019,POSTDOCTORAL RESEARCH SCHOLAR - Hubble Space Telescope “SKYSURF” project,Post-doctoral Positions and Fellowships,Arizona State University,Large Academic,/ad/59b9818b,United States of America,85287
4113,4113,2022,9,2022,Postdoctoral Research Associate - Fusion Energy,Post-doctoral Positions and Fellowships,Oak Ridge National Laboratory,Research Laboratory,/ad/5d97d06c,United States of America,37830
4114,4114,2021,4,2020,Director,Other,ASTRON,Research Laboratory,/ad/e2c58da0,Netherlands,
4115,4115,2021,1,2020,"Postdoctoral Scholar Position, Exoplanet Habitability",Post-doctoral Positions and Fellowships,"University of California, Irvine",Large Academic,/ad/9cca634f,United States of America,92697
4116,4116,2021,4,2020,Postdoctoral position in astrophysics,Post-doctoral Positions and Fellowships,"University of Nevada, Las Vegas",Large Academic,/ad/5ba277b9,United States of America,89154
4117,4117,2022,3,2021,Assistant Research Scientist,Post-doctoral Positions and Fellowships,Johns Hopkins University,Large Academic,/ad/62eec3bb,United States of America,21218
4118,4118,2022,4,2021,Science Operations Scientist,Scientific/Technical Staff,The European Space Agency (ESA),Foreign,/ad/db4da13e,United States of America,
4119,4119,2022,2,2021,Senior Scientific Software Engineer in Data Assimilation,Other,Met Office,Government Agency,/ad/2fa46b2d,United Kingdom of Great Britain and Northern Ireland,
4120,4120,2022,1,2021,"Postdoctoral position in Gravity &amp; Astrophysics at CEICO, Czech Academy of Sciences, Prague",Post-doctoral Positions and Fellowships,"Institute of Physics, Czech Academy of Sciences",Large Academic,/ad/2a049923,Czech Republic,
4121,4121,2020,2,2019,Postdoctoral position in relativistic plasma astrophysics,Post-doctoral Positions and Fellowships,Institut de Planétologie et d'Astrophysique de Grenoble,Large Academic,/ad/95a87199,France,
4122,4122,2021,8,2021,"Study of exoplanetary transits from TESS, CHEOPS and PLATO data",Post-doctoral Positions and Fellowships,Universita' degli Studi di Padova,Large Academic,/ad/2ecd94f6,Italy,35122
4123,4123,2021,10,2021,Tenure-track Assistant Professor,Faculty Positions (tenure and tenure-track),Boston University,Large Academic,/ad/6c7de559,United States of America,
4124,4124,2020,11,2020,"Research Fellowship in Cosmology at the Scuola Normale Superiore, Pisa",Post-doctoral Positions and Fellowships,Scuola Normale Superiore,Small Academic,/ad/ff4a5e70,Italy,56126
4125,4125,2022,2,2021,PhD positions in astrophysics,Pre-doctoral/Graduate Positions,The Nicolaus Copernicus Astronomical Center,Small Academic,/ad/f9edc7bc,Poland,00-716
4126,4126,2021,5,2020,Site Manager Mauna Kea - Gemini Observatory,Science Management,AURA/ Gemini Observatory,Other,/ad/874d4d0b,United States of America,
4127,4127,2021,6,2021,Event Coordinator ,Other,AURA,Other,/ad/240d592c,United States of America,
4128,4128,2023,2,2022,Postdoctoral Research Scientist in Solar Physics,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,/ad/e7954a7b,United States of America,10027
4129,4129,2022,3,2021,Software Developer / Scientist,Science Engineering,Million Concepts,Industry,/ad/cf3a0fc3,United States of America,
4130,4130,2020,12,2020,Postdoctoral position in extragalactic observations of galaxy evolution,Post-doctoral Positions and Fellowships,University of Michigan,Large Academic,/ad/1d740451,United States of America,
4131,4131,2020,10,2020,Postdoctoral position in transient and multi-messenger astronomy,Post-doctoral Positions and Fellowships,NASA Goddard Space Flight Center,Government Agency,/ad/d4f456cb,United States of America,20771
4132,4132,2020,4,2019,"Director, Chandra X-ray Center",Science Management,Smithsonian Astrophysical Observatory,Other,/ad/27127cc2,United States of America,
4133,4133,2020,10,2020,Postdoctoral Fellowship in Astrophysics,Post-doctoral Positions and Fellowships,Niels Bohr International Academy,Foreign,/ad/2470ede5,Denmark,2100
4134,4134,2020,8,2020,Postdoctoral Scholar,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/455abf81,United States of America,
4135,4135,2022,10,2022,Research Engineer: FPGA and Embedded Development,Science Engineering,SkuTek Instrumentation,Industry,/ad/1dad5cfa,United States of America,14586
4136,4136,2019,9,2019,High Level Software Engineer,Scientific/Technical Staff,AURA\Gemini,Other,/ad/9d7c9d0e,Chile,
4137,4137,2021,10,2021,Herchel Smith Postdoctoral Research Fellow x 2 (Fixed Term),Post-doctoral Positions and Fellowships,University of Cambridge,Foreign,/ad/63704a6d,United Kingdom of Great Britain and Northern Ireland,
4138,4138,2020,5,2019,"Postdoctoral Position in Stellar Astrophysics North-West University, Mahikeng Campus ",Post-doctoral Positions and Fellowships,North-West University,Foreign,/ad/48d51bcf,South Africa,2531
4139,4139,2020,10,2020,Postdoctoral Scholar Positions in Computational Relativistic Astrophysics,Post-doctoral Positions and Fellowships,The Pennsylvania State University,Large Academic,/ad/8dc12f3c,United States of America,16802
4140,4140,2022,8,2022,"Tenure-track Assistant Professor of Physics &amp; Astrophysics, Middlebury College",Faculty Positions (tenure and tenure-track),Middlebury College,Small Academic,/ad/84b29531,United States of America,05753
4141,4141,2022,9,2022,Postdoctoral Researcher - Penn State Center for Exoplanets and Habitable Worlds,Post-doctoral Positions and Fellowships,Penn State University,Large Academic,/ad/a661f9b8,United States of America,
4142,4142,2022,1,2021,Postdoctoral Research Assistant in Cosmology QMUL27694,Post-doctoral Positions and Fellowships,Queen Mary University of London,Large Academic,/ad/7724db21,United Kingdom of Great Britain and Northern Ireland,E1 4NS
4143,4143,2022,1,2021,Archive Analyst - Scientific Technical Writer - #0004535,Scientific/Technical Staff,Space Telescope Science Institute,Industry,/ad/7e14b2af,United States of America,21218
4144,4144,2019,7,2019,Faculty Position in Space-Based Instrumentation at the University of Iowa,Faculty Positions (tenure and tenure-track),University of Iowa,Large Academic,/ad/7117546d,United States of America,52242
